score,artista,titulo,ano,problemas,palavras_descricao,n_referencias,n_referencias_com_versiculo
6,Caravaggio,João Batista no deserto,1605,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",6,1,0
6,Caspar Luyken,Orfa deixa Rute e Noemi,1712,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",8,1,0
6,Charles Joseph Natoire,Jacó e Raquel saindo da casa de Labão,1732,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",12,1,0
6,Cornelis van Poelenburch,O profeta Elias e a viúva de Sarepta,1630,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",12,1,0
6,Gustave Doré,Paulo discursa após sair da prisão,1866,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",9,1,0
6,Edward Armitage,Isaque dando a bênção a Jacó,1881,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",9,1,0
6,Edward Armitage,Moisés destrói as tábuas da lei,1881,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",9,1,0
6,Eduard Julius Bendemann,Jesus ressuscita a filha de Jairo,1873,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",10,1,0
6,Edward Poynter,O retorno do filho pródigo,1869,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",8,1,0
6,Eilif Peterssen,O beijo de Judas,1877,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",7,1,0
6,El Greco,Jesus curando o cego,1570,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",7,1,0
6,El Greco,Jesus limpando o Templo,1570,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",7,1,0
6,Elizabeth Jane Gardner Bouguereau,O pastor Davi,1895,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",8,1,0
6,Eugène Burnand,O filho pródigo,1896,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",6,1,0
6,Eugène Burnand,O filho pródigo,1900,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",6,1,0
6,Eugène Burnand,O homem rico e Lázaro,1899,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",8,1,0
6,Hieronymus Bosch,Jesus Cristo carregando a Cruz,1500,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",8,1,0
6,Hieronymus Bosch,João Batista no deserto,1489,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",7,1,0
5,Vincent Van Gogh,Natureza-Morta com a Bíblia,1885,"DESCRICAO_CURTA, SEM_CONTEXTO_HISTORICO, SEM_REFERENCIA_BIBLICA",35,0,0
5,William Hatherell,Cristo Aparece aos Discípulos,1925,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO",12,2,1
5,Jusepe de Ribera,São Pedro e São Paulo,1616,"SEM_CONTEXTO_HISTORICO, SEM_REFERENCIA_BIBLICA, VERSICULO_NA_DESCRICAO_MAS_NAO_NA_FICHA",110,0,0
5,Fritz von Uhde - Caminhando para Emaús|Fritz von Uhde - Caminhando para Emaús,Caminhando para Emaús,1891,"DESCRICAO_CURTA, SEM_CONTEXTO_HISTORICO, SEM_REFERENCIA_BIBLICA",17,0,0
5,Giorgione,Davi e Golias,1510,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO",14,1,1
5,Giovanni Lanfranco,Moisés e os mensageiros de Canaã,1625,"SEM_DESCRICAO, SEM_VERSICULO_ESPECIFICO",1,1,0
5,El Greco,Pedro e Paulo,1600,"SEM_CONTEXTO_HISTORICO, SEM_REFERENCIA_BIBLICA, VERSICULO_NA_DESCRICAO_MAS_NAO_NA_FICHA",110,0,0
4,Jan van Eyck,O julgamento final,1438,"SEM_CONTEXTO_HISTORICO, SEM_REFERENCIA_BIBLICA",155,0,0
4,Hieronymus Bosch,O jardim das delícias terrenas,1500,"SEM_CONTEXTO_HISTORICO, SEM_REFERENCIA_BIBLICA",71,0,0
4,Albert Bierstadt,Tempestade nas montanhas,1870,"SEM_CONTEXTO_HISTORICO, SEM_REFERENCIA_BIBLICA",131,0,0
4,Carl Bloch,Getsêmani,1873,"DESCRICAO_CURTA, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO, VERSICULO_NA_DESCRICAO_MAS_NAO_NA_FICHA",35,1,0
4,Dante Gabriel Rossetti,Lady Lilith,1868,"SEM_CONTEXTO_HISTORICO, SEM_REFERENCIA_BIBLICA",82,0,0
4,Eugène Siberdt,Martinho Lutero Traduzindo a Bíblia,1898,"DESCRICAO_CURTA, SEM_REFERENCIA_BIBLICA",30,0,0
3,Petrus Christus,João Batista,1452,"SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO, VERSICULO_NA_DESCRICAO_MAS_NAO_NA_FICHA",51,4,0
3,Pierre Puvis de Chavannes,O filho pródigo,1879,"SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO, VERSICULO_NA_DESCRICAO_MAS_NAO_NA_FICHA",60,1,0
3,Rafael Sanzio,A escola de Atenas,1509-1511,SEM_REFERENCIA_BIBLICA,311,0,0
3,Rob Gonsalves,O Sol Zarpa,,SEM_REFERENCIA_BIBLICA,264,0,0
3,William Hole,O chamado de Levi (Mateus) (O chamado de Levi (Mateus)),1900,"SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO, VERSICULO_NA_DESCRICAO_MAS_NAO_NA_FICHA",146,1,0
3,William Ladd Taylor,Ester,1890,"SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO, VERSICULO_NA_DESCRICAO_MAS_NAO_NA_FICHA",53,3,0
3,William Ladd Taylor,Uma estrela no céu,1890,"SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO, VERSICULO_NA_DESCRICAO_MAS_NAO_NA_FICHA",50,1,0
3,Émile Friant,Os Namorados,1888,SEM_REFERENCIA_BIBLICA,58,0,0
3,Jacob Jordaens,O dinheiro de impostos ou Pedro achando a moeda na boca do peixe,1634,"SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO, VERSICULO_NA_DESCRICAO_MAS_NAO_NA_FICHA",138,1,0
3,Jacob van Oost,O chamado de São Mateus,1648,"SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO, VERSICULO_NA_DESCRICAO_MAS_NAO_NA_FICHA",146,1,0
3,Jacopo Bassano,Lázaro e o rico,1550,"SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO, VERSICULO_NA_DESCRICAO_MAS_NAO_NA_FICHA",64,1,0
3,James Tissot,Jacó engana a Isaque,1896,"SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO, VERSICULO_NA_DESCRICAO_MAS_NAO_NA_FICHA",165,1,0
3,James Tissot,Jacó vê Esaú vindo ao seu encontro,,"SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO, VERSICULO_NA_DESCRICAO_MAS_NAO_NA_FICHA",125,1,0
3,James Tissot,Jael mostra a Baraque o corpo de Sísera,1896,"SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO, VERSICULO_NA_DESCRICAO_MAS_NAO_NA_FICHA",138,1,0
3,James Tissot,José interpreta o sonho do Faraó,1896,"SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO, VERSICULO_NA_DESCRICAO_MAS_NAO_NA_FICHA",145,1,0
3,James Tissot,Moisés mata um egípcio,1896,"SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO, VERSICULO_NA_DESCRICAO_MAS_NAO_NA_FICHA",114,1,0
3,James Tissot,Moisés vê a Terra Prometida de longe,1896,"SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO, VERSICULO_NA_DESCRICAO_MAS_NAO_NA_FICHA",102,1,0
3,James Tissot,O Faraó nota a importância do povo judeu,,"SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO, VERSICULO_NA_DESCRICAO_MAS_NAO_NA_FICHA",107,1,0
3,James Tissot,O conselho de Abrão a Sarai,1896,"SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO, VERSICULO_NA_DESCRICAO_MAS_NAO_NA_FICHA",116,1,0
3,James Tissot,O que nosso Salvador viu da Cruz,1886,"SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO, VERSICULO_NA_DESCRICAO_MAS_NAO_NA_FICHA",147,1,0
3,James Tissot,Sara é levada ao palácio do Faraó,1896,"SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO, VERSICULO_NA_DESCRICAO_MAS_NAO_NA_FICHA",141,1,0
3,James Tissot,"Sem, Cam e Jafé",1896,"SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO, VERSICULO_NA_DESCRICAO_MAS_NAO_NA_FICHA",122,1,0
3,Jan van Eyck,"Adoração do Cordeiro Místico, Detalhe do Espírito Santo",1432,"DESCRICAO_CURTA, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",30,1,0
